1;Van Baarle Dylan;Jumbo-Visma;4:54:49;
2;De Lie Arnaud;Lotto Dstny;0:20;
3;Laporte Christophe;Jumbo-Visma;0:20;
4;Kristoff Alexander;Uno-X Pro Cycling Team;0:20;
5;Pidcock Thomas;INEOS Grenadiers;0:20;
6;Ballerini Davide;Soudal - Quick Step;0:20;
7;Politt Nils;BORA - hansgrohe;0:20;
8;Pasqualon Andrea;Bahrain - Victorious;0:20;
9;Oliveira Rui;UAE Team Emirates;0:20;
10;Vanmarcke Sep;Israel - Premier Tech;0:20;
11;Teunissen Mike;Intermarché - Circus - Wanty;0:20;
12;Allegaert Piet;Cofidis;0:20;
13;Louvel Matis;Team Arkéa Samsic;0:20;
14;Schelling Ide;BORA - hansgrohe;0:20;
15;Benoot Tiesj;Jumbo-Visma;0:20;
16;Doull Owain;EF Education-EasyPost;0:20;
17;Stewart Jake;Groupama - FDJ;0:20;
18;Jorgenson Matteo;Movistar Team;0:20;
19;Naesen Oliver;AG2R Citroën Team;0:20;
20;Bissegger Stefan;EF Education-EasyPost;0:20;
21;Mohoric Matej;Bahrain - Victorious;0:20;
22;Sheffield Magnus;INEOS Grenadiers;0:20;
23;Le Berre Mathis;Team Arkéa Samsic;0:20;
24;Rutsch Jonas;EF Education-EasyPost;0:20;
25;Küng Stefan;Groupama - FDJ;0:20;
26;Wellens Tim;UAE Team Emirates;0:20;
27;Geniets Kevin;Groupama - FDJ;0:28;
28;Koch Jonas;BORA - hansgrohe;0:32;
29;Van den Berg Julius;EF Education-EasyPost;0:37;
30;Van Hooydonck Nathan;Jumbo-Visma;0:42;
31;Tiller Rasmus;Uno-X Pro Cycling Team;0:42;
32;Degenkolb John;Team DSM;1:42;
33;Philipsen Jasper;Alpecin-Deceuninck;1:42;
34;Van Avermaet Greg;AG2R Citroën Team;1:42;
35;Theuns Edward;Trek - Segafredo;2:46;
36;Milan Jonathan;Bahrain - Victorious;2:46;
37;Biermans Jenthe;Team Arkéa Samsic;2:46;
38;Kanter Max;Movistar Team;2:46;
39;Flynn Sean;Team DSM;2:46;
40;Mas Lluís;Movistar Team;2:46;
41;Dewulf Stan;AG2R Citroën Team;2:46;
42;Bittner Pavel;Team DSM;2:46;
43;Vermeersch Florian;Lotto Dstny;2:46;
44;De Bondt Dries;Alpecin-Deceuninck;2:46;
45;Van Gestel Dries;TotalEnergies;2:46;
46;Skaarseth Anders;Uno-X Pro Cycling Team;2:46;
47;Urianstad Martin;Uno-X Pro Cycling Team;2:46;
48;Van Moer Brent;Lotto Dstny;2:46;
49;Resell Erik Nordsæter;Uno-X Pro Cycling Team;2:46;
50;Erviti Imanol;Movistar Team;2:46;
51;Russo Clément;Team Arkéa Samsic;2:46;
52;Le Gac Olivier;Groupama - FDJ;2:46;
53;Renard Alexis;Cofidis;2:46;
54;Bystrøm Sven Erik;Intermarché - Circus - Wanty;2:46;
55;Skujinš Toms;Trek - Segafredo;2:46;
56;Beullens Cedric;Lotto Dstny;2:46;
57;Wright Fred;Bahrain - Victorious;2:46;
58;Stuyven Jasper;Trek - Segafredo;2:46;
59;Pedersen Casper;Soudal - Quick Step;2:46;
60;Mertens Julian;Bingoal WB;2:46;
